,ranking,rating_vol,rdetails,lnglat,rsubrating,vtype,amenities,details,v_name,rating_cat,gd
0,"[10, 33]",60.0,,"[-115.06332, 36.1191]",{},Hotel_Review,"{'Services': 'Free Parking Banquet Room Self-Serve Laundry Conference Facilities ', 'About the property': 'Pets Allowed ( Dog / Pet Friendly ) ', 'Things to do': 'Pool Hot Tub Fitness Center with Gym / Workout Room ', 'Internet': 'Free Internet Free High Speed Internet ( WiFi ) Public Wifi '}","{'Number of rooms:': '398 ', 'Address:': '3890 S Nellis Blvd, Las Vegas, NV 89121-3116', 'Location:': 'United States | Nevada | Las Vegas', 'Price Range:': '$22 - $32 (Based on Average Rates for a Standard Room)'}",Las Vegas RV Resort,4.0,g45963-d3600552
1,"[209, 267]",63.0,,"[-115.08308, 36.127922]",{},Hotel_Review,"{'Things to do': 'Pool Fitness Center with Gym / Workout Room ', 'About the property': 'Wheelchair access Pets Allowed ( Dog / Pet Friendly ) ', 'Services': 'Free Parking Self-Serve Laundry ', 'In your room': 'Air Conditioning Microwave Refrigerator in room ', 'Internet': 'Public Wifi Free Internet Free High Speed Internet ( WiFi ) ', 'Room types': 'Suites Smoking rooms available Kitchenette Non-Smoking Rooms Family Rooms '}","{'Address:': '4240 Boulder Hwy, Las Vegas, NV 89121-3006 (Formerly Extended Stay America - Las Vegas - Boulder Highway)', 'Location:': 'United States | Nevada | Las Vegas', 'Also Known As:': 'Extended Stayamerica Las Vegas/Boulder Hwy Hotel Las Vegas Extended Stay Las Vegas Extended Stay America Las Vegas Las Vegas Extended Stay ', 'Price Range:': '$47 - $78 (Based on Average Rates for a Standard Room)', 'Reservation Options:': 'TripAdvisor is proud to partner with Booking.com, Expedia, Orbitz, Travelocity, Hotwire, Priceline, Odigeo and Hotels.com so you can book your Crossland Economy Studios - Las Vegas - Boulder Highway reservations with confidence. We help millions of travelers each month to find the perfect hotel for both vacation and business trips, always with the best discounts and special offers.', 'Hotel Class:': '2 star — Crossland Economy Studios - Las Vegas - Boulder Highway 2*', 'Number of rooms:': '123'}",Crossland Economy Studios - Las Vegas - Boulder Highway,2.5,g45963-d97850
2,"[197, 267]",100.0,,"[-115.19604, 36.20166]",{},Hotel_Review,"{'Room types': 'Non-Smoking Rooms ', 'Services': 'Free Parking Dry Cleaning Meeting Rooms Banquet Room ', 'About the property': 'Wheelchair access ', 'Things to do': 'Pool Restaurant Bar/Lounge Casino and Gambling ', 'Internet': 'Free Internet '}","{'Address:': '2400 N Rancho Dr, Las Vegas, NV 89130-3314', 'Location:': 'United States | Nevada | Las Vegas', 'Also Known As:': 'Fiesta Rancho Hotel Las Vegas Fiesta Hotel Las Vegas', 'Price Range:': '$50 - $135 (Based on Average Rates for a Standard Room)', 'Reservation Options:': 'TripAdvisor is proud to partner with Expedia, Booking.com, Orbitz, Hotwire, Odigeo, Hotels.com, Priceline, Vegas.com and Travelocity so you can book your Fiesta Rancho Hotel and Casino reservations with confidence. We help millions of travelers each month to find the perfect hotel for both vacation and business trips, always with the best discounts and special offers.', 'Hotel Style:': ' #76 Casino Hotel in Las Vegas ', 'Hotel Class:': '2.5 star — Fiesta Rancho Hotel and Casino 2.5*', 'Number of rooms:': '100'}",Fiesta Rancho Hotel and Casino,2.5,g45963-d121329
3,"[228, 267]",27.0,,"[-115.19868, 36.201473]",{},Hotel_Review,"{'Things to do': 'Pool ', 'About the property': 'Wheelchair access Pets Allowed ( Dog / Pet Friendly ) ', 'Services': 'Free Parking ', 'In your room': 'Air Conditioning Refrigerator in room ', 'Internet': 'Free Internet Public Wifi Free High Speed Internet ( WiFi ) ', 'Room types': 'Kitchenette Non-Smoking Rooms '}","{'Also Known As:': 'Budget Suites Of America North Rancho Drive Hotel Las Vegas ', 'Number of rooms:': '704', 'Address:': '2219 N Rancho Dr, Las Vegas, NV 89130-3317', 'Location:': 'United States | Nevada | Las Vegas', 'Price Range:': '$49 - $69 (Based on Average Rates for a Standard Room)'}",Budget Suites of America North Rancho Drive,1.5,g45963-d91750
4,"[1, 33]",271.0,,"[-115.1785, 36.040703]",{},Hotel_Review,"{'Services': 'Self-Serve Laundry Free Parking Meeting Rooms ', 'About the property': 'Wheelchair access Pets Allowed ( Dog / Pet Friendly ) ', 'Things to do': 'Pool Fitness Center with Gym / Workout Room Restaurant Hot Tub ', 'Internet': 'Free High Speed Internet ( WiFi ) '}","{'Also Known As:': 'Oasis Las Vegas Rv Hotel Las Vegas ', 'Number of rooms:': '400', 'Address:': '2711 W Windmill Ln, Las Vegas, NV 89123-1037', 'Location:': 'United States | Nevada | Las Vegas | Enterprise', 'Price Range:': '$31 - $48 (Based on Average Rates for a Standard Room)'}",Oasis Las Vegas RV Resort,4.5,g45963-d226809
5,"[87, 267]",286.0,,"[-115.182785, 36.083115]",{},Hotel_Review,"{'Things to do': 'Pool Fitness Center with Gym / Workout Room Hot Tub Tennis Court ', 'About the property': 'Non-Smoking Hotel Wheelchair access Pets Allowed ( Dog / Pet Friendly ) ', 'Services': 'Business Center with Internet Access Shuttle Bus Service Airport Transportation Free Breakfast Self-Serve Laundry Free Parking Dry Cleaning Meeting Rooms Laundry Service ', 'In your room': 'Microwave Air Conditioning Refrigerator in room ', 'Internet': 'Free High Speed Internet ( WiFi ) Free Internet Paid Wifi ', 'Room types': 'Non-Smoking Rooms Kitchenette Suites Family Rooms Accessible rooms '}","{'Address:': '5875 Dean Martin Dr, Las Vegas, NV 89118-3189', 'Location:': 'United States | Nevada | Las Vegas', 'Also Known As:': 'Residence Inn Las Vegas South Hotel Las Vegas Las Vegas Residence Inn', 'Price Range:': '$151 - $275 (Based on Average Rates for a Standard Room)', 'Reservation Options:': 'TripAdvisor is proud to partner with Hotels.com, Expedia, Booking.com, Hotwire, Marriott, Odigeo, Travelocity and Priceline so you can book your Residence Inn Las Vegas South reservations with confidence. We help millions of travelers each month to find the perfect hotel for both vacation and business trips, always with the best discounts and special offers.', 'Hotel Style:': ' #41 Business Hotel in Las Vegas #84 Romantic Hotel in Las Vegas ', 'Hotel Class:': '3 star — Residence Inn Las Vegas South 3*', 'Number of rooms:': '160'}",Residence Inn Las Vegas South,4.0,g45963-d287616
6,"[227, 267]",67.0,,"[-115.17141, 36.14259]",{},Hotel_Review,"{'Room types': 'Non-Smoking Rooms Suites Kitchenette ', 'Services': 'Room Service Free Parking Free Breakfast Multilingual Staff ', 'About the property': 'Wheelchair access Pets Allowed ( Dog / Pet Friendly ) Non-Smoking Hotel ', 'Things to do': 'Pool ', 'Internet': 'Free Internet Free High Speed Internet ( WiFi ) '}","{'Address:': '2601 Westwood Dr, Las Vegas, NV 89109-1117 (Formerly Sahara Westwood Hotel)', 'Location:': 'United States | Nevada | Las Vegas', 'Also Known As:': 'Sahara Westwood Las Vegas Hotel Sahara Westwood ', 'Price Range:': '$53 - $99 (Based on Average Rates for a Standard Room)', 'Reservation Options:': 'TripAdvisor is proud to partner with Expedia, Travelocity and Hotwire so you can book your Claremont Hotel Las Vegas reservations with confidence. We help millions of travelers each month to find the perfect hotel for both vacation and business trips, always with the best discounts and special offers.', 'Hotel Class:': '2 star — Claremont Hotel Las Vegas 2*', 'Number of rooms:': '91'}",Claremont Hotel Las Vegas,1.5,g45963-d258899
7,"[4, 267]",9453.0,,"[-115.164505, 36.12825]",{},Hotel_Review,"{'Room types': 'Suites Non-Smoking Rooms ', 'Services': 'Business Center with Internet Access Room Service Free Parking Meeting Rooms Dry Cleaning Laundry Service Concierge Banquet Room Multilingual Staff Airport Transportation Conference Facilities ', 'About the property': 'Wheelchair access ', 'Things to do': 'Pool Restaurant Fitness Center with Gym / Workout Room Bar/Lounge Spa Casino and Gambling Hot Tub Golf course ', 'Internet': 'Paid Wifi Paid Internet Free Internet Free High Speed Internet ( WiFi ) '}","{'Address:': '3121 Las Vegas Blvd. South, Las Vegas, NV 89109-1967', 'Location:': 'United States | Nevada | Las Vegas | The Strip', 'Also Known As:': 'Encore At Wynn Las Vegas Hotel Las Vegas Las Vegas Encore At Wynn', 'Price Range:': '$235 - $1,074 (Based on Average Rates for a Standard Room)', 'Reservation Options:': 'TripAdvisor is proud to partner with Booking.com, Hotels.com, Hotwire, Prestigia, Expedia, getaroom.com, Odigeo, Vegas.com, Cancelon and Jetsetter so you can book your Encore At Wynn Las Vegas reservations with confidence. We help millions of travelers each month to find the perfect hotel for both vacation and business trips, always with the best discounts and special offers.', 'Hotel Style:': ' #2 Casino Hotel in Las Vegas #4 Luxury Hotel in Las Vegas #4 Spa Hotel in Las Vegas #9 Business Hotel in Las Vegas #9 Family Hotel in Las Vegas #10 Romantic Hotel in Las Vegas ', 'Hotel Class:': '5 star — Encore At Wynn Las Vegas 5*', 'Number of rooms:': '2034'}",Encore At Wynn Las Vegas,4.5,g45963-d1123368
8,"[38, 267]",14728.0,,"[-115.1746, 36.102386]",{},Hotel_Review,"{'Things to do': 'Restaurant Fitness Center with Gym / Workout Room Pool Bar/Lounge Spa Casino and Gambling ', 'About the property': 'Wheelchair access ', 'Services': 'Room Service Business Center with Internet Access Dry Cleaning Meeting Rooms Laundry Service Concierge Banquet Room Multilingual Staff Conference Facilities ', 'In your room': 'Air Conditioning ', 'Internet': 'Free Internet Free High Speed Internet ( WiFi ) Paid Wifi ', 'Room types': 'Suites Non-Smoking Rooms '}","{'Address:': '3790 Las Vegas Boulevard South, Las Vegas, NV 89109-4338', 'Location:': 'United States | Nevada | Las Vegas', 'Also Known As:': 'New York - New York Hotel Las Vegas New York Resort New York Las Vegas New York New York Las Vegas Ny Casino New York Hotel Las Vegas', 'Price Range:': '$92 - $395 (Based on Average Rates for a Standard Room)', 'Reservation Options:': 'TripAdvisor is proud to partner with MGM Domestic, Booking.com, Expedia, Odigeo, Hotwire, Travelocity, Vegas.com, Hotels.com, getaroom.com, Orbitz and Jetsetter so you can book your New York - New York Hotel and Casino reservations with confidence. We help millions of travelers each month to find the perfect hotel for both vacation and business trips, always with the best discounts and special offers.', 'Hotel Style:': ' #12 Green Hotel in Las Vegas #15 Casino Hotel in Las Vegas #21 Spa Hotel in Las Vegas #21 Luxury Hotel in Las Vegas #31 Family Hotel in Las Vegas #35 Romantic Hotel in Las Vegas #42 Business Hotel in Las Vegas ', 'Hotel Class:': '4 star — New York - New York Hotel and Casino 4*', 'Number of rooms:': '2024'}",New York - New York Hotel and Casino,4.0,g45963-d91904
9,"[127, 267]",6381.0,,"[-115.15287, 36.13711]",{},Hotel_Review,"{'Things to do': 'Pool Fitness Center with Gym / Workout Room Restaurant Casino and Gambling Tennis Court Bar/Lounge Spa Hot Tub ', 'About the property': 'Wheelchair access ', 'Services': 'Room Service Business Center with Internet Access Free Parking Meeting Rooms Dry Cleaning Laundry Service Concierge Banquet Room Multilingual Staff Conference Facilities ', 'In your room': 'Air Conditioning ', 'Internet': 'Paid Wifi Paid Internet Free Internet Free High Speed Internet ( WiFi ) ', 'Room types': 'Suites Non-Smoking Rooms Family Rooms '}","{'Address:': '3000 Paradise Rd, Las Vegas, NV 89109-1287 (Formerly LVH - Las Vegas Hotel & Casino)', 'Location:': 'United States | Nevada | Las Vegas', 'Also Known As:': 'Lvh - Las Vegas Hotel And Casino Lvh - Las Vegas Hotel Las Vegas Hilton Hotel Las Vegas Hilton Las Vegas', 'Price Range:': '$65 - $343 (Based on Average Rates for a Standard Room)', 'Reservation Options:': 'TripAdvisor is proud to partner with Agoda, Expedia, Hotwire, Booking.com, Vegas.com, getaroom.com and Hotels.com so you can book your Westgate Las Vegas Resort & Casino reservations with confidence. We help millions of travelers each month to find the perfect hotel for both vacation and business trips, always with the best discounts and special offers.', 'Hotel Style:': ' #42 Luxury Hotel in Las Vegas #48 Spa Hotel in Las Vegas #63 Casino Hotel in Las Vegas ', 'Hotel Class:': '4 star — Westgate Las Vegas Resort & Casino 4*', 'Number of rooms:': '3479'}",Westgate Las Vegas Resort & Casino,3.0,g45963-d91878
